Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R11,93.1k,R_0603_1608Metric,63.4,-111.5,180.0,top
R12,100k,R_0603_1608Metric,64.025,-119.9,180.0,top
R13,82k,R_0603_1608Metric,63.4,-114.7,180.0,top
R14,0,R_0603_1608Metric,63.4,-113.1,180.0,top
R15,2k,R_0603_1608Metric,67.85,-112.1,-90.0,top
R16,0,R_0603_1608Metric,62.875,-91.0,180.0,top
R17,0,R_0603_1608Metric,79.7,-107.9,90.0,top
R18,0,R_0603_1608Metric,88.2,-91.4,180.0,top
R19,0,R_0603_1608Metric,82.8,-108.375,90.0,top
R2,100k,R_0603_1608Metric,52.9,-78.4,-90.0,top
R20,100,R_0603_1608Metric,74.65,-124.9,-90.0,top
R21,100,R_0603_1608Metric,73.05,-124.9,-90.0,top
R22,20m,R_0612_1632Metric,72.1,-101.65,-90.0,top
R23,20m,R_0612_1632Metric,76.6,-101.65,-90.0,top
R24,0,R_0612_1632Metric,98.45,-97.9,0.0,top
R25,280k,R_0603_1608Metric,71.55,-120.5,180.0,top
R26,20k,R_0603_1608Metric,69.45,-122.8,-90.0,top
R27,100k,R_0603_1608Metric,78.45,-124.725,90.0,top
R28,100k,R_0603_1608Metric,91.7,-123.95,0.0,top
R29,100k,R_0603_1608Metric,99.6,-122.05,-90.0,top
R3,1.5kOhm,R_0603_1608Metric,177.5,-85.45,90.0,top
R30,10k,R_0603_1608Metric,119.5,-70.8,90.0,top
R31,54.9k,R_0603_1608Metric,117.8,-64.2,-90.0,top
R32,10k,R_0603_1608Metric,116.1,-64.2,90.0,top
R33,10m,R_0805_2012Metric,218.0,-56.5,0.0,top
R34,10m,R_0805_2012Metric,218.0,-71.0,0.0,top
R35,10m,R_0805_2012Metric,218.0,-85.5,0.0,top
R36,10m,R_0805_2012Metric,218.0,-100.0,0.0,top
R37,10m,R_0805_2012Metric,218.0,-114.5,0.0,top
R38,10m,R_0805_2012Metric,213.0,-129.5,-90.0,top
R39,10m,R_0805_2012Metric,198.0,-129.5,-90.0,top
R4,100k,R_0603_1608Metric,147.5,-65.125,90.0,top
R40,10m,R_0805_2012Metric,183.0,-129.5,-90.0,top
R41,10m,R_0805_2012Metric,168.0,-129.5,-90.0,top
R42,10m,R_0805_2012Metric,153.0,-129.5,-90.0,top
R5,1m,R_0612_1632Metric,45.5,-96.4,0.0,top
R6,33m,R_0603_1608Metric,139.5,-76.5,90.0,top
R7,1m,R_0612_1632Metric,136.5,-99.3,0.0,top
R8,10m,R_0805_2012Metric,131.25,-56.2,0.0,top
R9,300k,R_0603_1608Metric,69.45,-112.1,-90.0,top
TP71,TestPoint,TestPoint_Keystone_5000-5004_Miniature,223.0,-43.0,0.0,top
TP72,TestPoint,TestPoint_Keystone_5000-5004_Miniature,38.0,-43.0,0.0,top
TP73,TestPoint,TestPoint_Keystone_5000-5004_Miniature,32.0,-134.5,0.0,top
TP74,TestPoint,TestPoint_Keystone_5000-5004_Miniature,229.5,-134.0,0.0,top
TP75,TestPoint,TestPoint_Keystone_5000-5004_Miniature,88.0,-54.5,0.0,top
TP76,TestPoint,TestPoint_Keystone_5000-5004_Miniature,138.0,-118.0,0.0,top
TP77,TestPoint,TestPoint_Keystone_5000-5004_Miniature,144.4,-53.9,0.0,top
TP78,TestPoint,TestPoint_Keystone_5000-5004_Miniature,206.2226,-84.4804,0.0,top
U1,INA226,VSSOP-10_3x3mm_P0.5mm,50.0,-83.0,0.0,top
U10,INA226,VSSOP-10_3x3mm_P0.5mm,219.0,-105.5,90.0,top
U11,INA226,VSSOP-10_3x3mm_P0.5mm,219.0,-120.0,90.0,top
U12,INA226,VSSOP-10_3x3mm_P0.5mm,207.5,-130.5,0.0,top
U13,INA226,VSSOP-10_3x3mm_P0.5mm,192.5,-130.5,0.0,top
U14,INA226,VSSOP-10_3x3mm_P0.5mm,177.5,-130.5,0.0,top
U15,INA226,VSSOP-10_3x3mm_P0.5mm,162.5,-130.5,0.0,top
U16,INA226,VSSOP-10_3x3mm_P0.5mm,147.5,-130.5,0.0,top
U2,INA226,VSSOP-10_3x3mm_P0.5mm,141.4,-108.1,90.0,top
U3,INA226,VSSOP-10_3x3mm_P0.5mm,145.0,-75.5,180.0,top
U4,INA226,VSSOP-10_3x3mm_P0.5mm,134.0,-61.7,90.0,top
U5,LM5176RHF,VQFN-28-1EP_4x5mm_P0.5mm_EP2.55x3.55mm,73.6,-116.55,0.0,top
U6,TPS563201,SOT-23-6,111.075,-69.875,0.0,top
U7,INA226,VSSOP-10_3x3mm_P0.5mm,219.0,-62.0,90.0,top
U8,INA226,VSSOP-10_3x3mm_P0.5mm,219.0,-76.5,90.0,top
U9,INA226,VSSOP-10_3x3mm_P0.5mm,219.0,-91.0,90.0,top
